Lenovo ThinkPad X1 Carbon 5th Gen (20HR) Laptop i7-7500U 2.7 GHz 16 GB Ram 500GB,,,$157.00,US,,Used,https://www.ebay.com/itm/325695545647?hash=item4bd4f7a12f%3Ag%3AhYQAAOSw%7E%7E1ki4hC&amdata=enc%3AAQAIAAAA4Oo1ROHcxw5rLVBkvROEnT%2Fa6uEFY3bBW7kiWGmtWg6W2qKO1GL3FIgmoKjC8A0pOi2nM8yZedROUZ14Y6R%2FxWMCXGZASLe2xYsxHCiEW%2B5QoL4jxdrKyYc4dycrY35mu6047gHIOT8hMe4wG9NzEmhl9X%2BeRMM5Q9wXzikuMl618kje0x9eAivF4za3AEy4278AWmPu8vGoAqFBI%2BRCcMaLfcLzv54GWvQj8aabGpZ%2BVP7thRKxgULX2q%2F93xjJXYRVslje%2BraMFvyUzGZDC9pn%2FuXVPiXfkIVJjJyXklHK%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"*AS-IS* Dell Laitude 7490 14"" i5-8350U 1.70GHz 8GB 256GB SSD W11 Laptop (G246)",,,$49.95,US,,For parts or not working,https://www.ebay.com/itm/204368674230?hash=item2f95527db6%3Ag%3A4owAAOSwl3tki4eR&amdata=enc%3AAQAIAAAAwLBSWdShagN1qw9RhQVo5b1abokEM6KMPcRV0hGJdq2LhTmPHKm%2BEwXG1Y5KE%2FmFcn63Q%2F4uvRLeAjzhZ%2BVUnz2gwLinU63Emq9n9CUVdAb74OPEEjEpW8PMU7ebmp8QJt7DoNJE3WD1Ig%2BflPTa7xrOPjN0%2BZjEokpXWdGuuHtihxnnnSQU7gYgrWEyOIPMdvN2CIcJYCxhouXhWXdLxe0mHQ1%2FzgM77uBewyUzVRPe4DIfDe4a3yHXO0okfWeXpg%3D%3D%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"*AS-IS* Dell Laitude 7490 14"" i5-8350U 1.70GHz 8GB 256GB SSD W11 Laptop (G247)",,,$49.95,US,,For parts or not working,https://www.ebay.com/itm/204368674231?hash=item2f95527db7%3Ag%3AA6IAAOSwGfVki4eR&amdata=enc%3AAQAIAAAA4Png8gP4kQ7vX5X%2BP9qaDBDYCIz%2BLZsXVXevWGi9MZ2i4SDRAiefRqnueuFZtxuK1Cc2fkdOsTD87CWXrrWTJsR%2F4i03f2weCJXBQ%2BfjGYTLhsEeHs4ndDFmtk5UvjU2VdD0JTF1bf8RvMBFJLHh4PxIw82FcCawj%2Fg4in%2F0cEQR1%2BpAfRmrnubgRnaWeVXCHUcQLa5En3IwQ2EbaHrkWx%2Bl%2Bai3e3Gz4qQP0Xbx4COKEOMBVN%2BmAXZKC1xF2pk1DNiwK8dRriH0vRtIiehUF3PAUk0buIlUFJ34A%2FYCRb4m%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
Dell G7 15 15.6'' (512GB SSD Intel Core i7 10th Gen. 2.6GHz 16GB) Gaming Laptop,$850.00,US,$650.00,US,,Used,https://www.ebay.com/itm/314650767014?epid=11047247792&hash=item4942a5aea6%3Ag%3AffYAAOSwiqJki4WE&amdata=enc%3AAQAIAAAAwCKe1QXVxqBUqZbFrMvo0rtJj80rocxAzk8c1JsKhB6Z1rko9kyQzpX2JYOVjApW3p0c8J3VdrXbzETp4n%2FDO0HPDmCdFwo1tUUJl1Nga4Tn4cAqGNoSpFV5u6rQGaOqfN2CdTrDGK92h%2Bo%2F%2BGDHx5RiuJNTSdUIoIp%2FrFZ82XluGhdlRPLXacNmze8tZ1l51rRVKxE8aYBe2ikcAP0rskp5kQOFLxf1wiCxUVddULih0PIxxHqAQBT%2BYuNqQ2V2Ug%3D%3D%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
Lot of 4 Dell Latitude E5470 i5 8GB RAM DDR4 128GB SSD Win 10,,,$103.50,US,,Used,https://www.ebay.com/itm/266305932258?hash=item3e01120be2%3Ag%3AyBwAAOSwzAxkPr0A&amdata=enc%3AAQAIAAAA4JCZ24qr%2BT8gNAxDKmFHk9u%2FzMi1%2BocTFLGM3BP37JGNDdqZysXcvJharhN4PHyctiA62Wi9GsvvubJjwd%2Fsxyy6%2BX%2Bokoz3EU%2BlyhJWjYnnImHoWEKTqzuN3Y0GPeFL2C19B7CTXkuixKGslfp52zkKOvpWGEWB4TSrmiPopUJyPBiKcsMGNMVPq7TS8193sYFFkrd36Z4JgL6Qw%2Fceis%2BrnFUb52OPra29F8FF7%2FEQ%2Bsqb4BH6yRYbxPgE%2FCm1V5qiPOvvO8WMRleuW7J2yUjqivBRk2748ezxBJOHhLaO%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"HP ProBook 640 G2 14"" Intel Core i5-6300U 2.40GHz 16GB RAM 512GB SSD No Battery",,,$11.50,US,,Used,https://www.ebay.com/itm/354851887235?hash=item529ed21883%3Ag%3AFyAAAOSwxidki4Ql&amdata=enc%3AAQAIAAAA4HCzatpmWpeBx3RvgSyBvomg4vRJ6qrrbBrX5yc01VEkdG%2BJjlWiuMLxfdAL9vpEFmkO68G%2BRmKgKr%2BN2fLSlL9uU0SwRP5j8ysfYZ4c7teNjYgaDPBHvWVeUkzVNhXILg4Vq3I6%2Fcbsu3iIBdkFzRrlL6T0pxnOdaNDSfyF9F3PQ2H8dBnF2wgTMd5S436NGtPMTXL9KZQDdqgnspU%2BIQCMjA1rBWtjjmqXeTW192FIVeGGBkdNOvG%2FAYO19nJyCetWgba0DR%2FauaCczo6n%2FoEIHoEeMmURF6wJ9FDs6WaJ%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"HP ProBook 640 G2 14"" Intel Core i5-6300U 2.40GHz 16GB RAM 192GB M.2 No Battery",,,$26.00,US,,Used,https://www.ebay.com/itm/125977808569?hash=item1d54dcceb9%3Ag%3AR-oAAOSwog1kcL-6&amdata=enc%3AAQAIAAAA4IUjU6ZXzbj05F81PK6ZqTh8JpN5E7SozWCxYalQ4g782DB5ObI9TK%2FkqcKGdPzukamLuAZ7ECFeUqnfDTG141xBJCp5ZW7eXoVPb%2FaJC5s4qzv7XAcuKCTl0wMWoqAQh%2B3nC9XUD7dcZ6sVYymF7%2BOcFI4Pz37nIy6AIvFF5NKdt3r%2Fz6VdcortGj3tdMg%2BDwiBG3lmjza82n3Zw3IvIXf%2BRCO6prdpmftuPHLeOtzFDFy7PF0p48xtR0BtZ5CxQEuzDJOm%2Bv%2FaYlNM2OtQ0OMmFltNjR8NxCCj079XpQGu%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"HP ProBook 640 G2 14"" Intel Core i5-6300U 2.40GHz 8GB RAM 256GB NVMe No Battery",,,$4.99,US,,Used,https://www.ebay.com/itm/404336022034?hash=item5e244e1212%3Ag%3AOJIAAOSwf-xkjFVj&amdata=enc%3AAQAIAAAAwN1lge9zLhvWXg6yMm7czhE1y5de6BRj%2BK%2B5BvucWmKQ%2Fr1axI2EyNmjX0w%2B5EHGsTYQz%2FWA%2BmsUAZpJ3K4KRjGkdRZOuUjOlIJkZcag4wA1Mr1A2mQjc4h09nI7CF1Mbq7T7SnjTM8VOIEZ5fgR%2B5Y8uoExRSo9jT22ovvrbWX%2Bx7BBMrkTzxgvEwwNTVJK5BykzAfkO%2Fso%2FxSiZS9rwcY3jIxU4OJS7%2Fy0Fu5CnwJKYoB%2BlN7uKf6JQOBZPp0gzQ%3D%3D%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"msi gaming laptop used, black, screen hinge issue, GS73 series 6RF Stealth Pro ",,,$800.00,US,,For parts or not working,https://www.ebay.com/itm/354858647424?hash=item529f393f80%3Ag%3ARywAAOSwn0hki1PA&amdata=enc%3AAQAIAAAAwBWwceW3uQMlep%2Br%2Bp5idbRjOpSZsd9wSm%2B0112JtAvLwOXoOsI%2F%2FzWALGD8rYULmufmXQNpaf50YF%2Fetsk0cuK6fzU8ExyYKsxp8X6jurFAPza2nwmuAq6PwjL4tTnh2XZT1UdxO46f1fDv%2Bedj%2FYdvYKdJTh5vubwccpfKAUAkAm1%2FL6Gcu7IUEYMGvKJtjiJo7LVeq%2FqxAue3Hqh4DhNd0S7esjIRb6D%2B21xmymT51bo%2BoHh2W9rlrJlaqVHpkA%3D%3D%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"HP ProBook 640 G2 14"" Intel Core i5-6300U 2.40GHz 16GB RAM 250GB SSD C4",,,$16.50,US,,Used,https://www.ebay.com/itm/125977806336?hash=item1d54dcc600%3Ag%3AR-oAAOSwog1kcL-6&amdata=enc%3AAQAIAAAA4EKLpC3F5EA2T%2BvBHeSZ65CSGnZNYmVrAdvBREYyu5nn1ahSOKsskEENOpl7v5jR56tuxk92mNNmridxfOpkAZ5uHBdYKS%2BbasZWq7mxVQubVcWMxNMsWahyJgd6HWhBTG8NLaxsmU%2FJLTqe7JbIrduGb8Zn3HH0ly6pHip5ui2hjXjqtZrFxU5cx1r2lg6kEvs%2B1fkxCJxwM4U7Nhd%2B7odbc91k7T0MskGnuH3OMZ%2FhCqfN3r0FSsq3d8WXnB7hVPjwbKqn63xFp%2BAWiKOz%2FN87VV2zKZuskT6cmylm8AcB%7Ctkp%3ABk9SR9jC2oGcYg&LH_Auction=1
"Lenovo ThinkPad E15 Gen 4 15.6"" 512GB SSD, Intel Core i7 12th Gen4 40GB RAM",,,$710.00,US,,Open box,https://www.ebay.com/itm/225619945169?epid=28059440326&hash=item3487ff26d1%3Ag%3AnfcAAOSwWSZkgkS7&amdata=enc%3AAQAIAAAAwEXZzTznxulIYVW45EDM8SIVthKMPeKAjIaEgW6QxykPXD4SkgPL3LoXqUhXXUXdFGddTAnKw3MVlM0cFEzHoGnDtSz3P0W3weSjJncGokdeJmBeVmDgZl8LTQLmmagzinXmATokNIUlEAtBN4TZ%2FZOQ9KxWYDKyLWO1kEfjpSGMmAWQxH1FaZzxZqco97O%2B0vfMifhltQRSjxe5KPdJKN8OM%2BvoDjqW8q0e2AhUVNaMCIfM6COfoRNiirSYdvy0vw%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"HP Pavilion x360 convertible 14m - Cracked screen in corner, some issues, works",,,$53.00,US,,For parts or not working,https://www.ebay.com/itm/115833866917?hash=item1af83c8aa5%3Ag%3A-VkAAOSwshdkivkn&amdata=enc%3AAQAIAAAAwPeI%2BJVFiPSv%2F9jnQvAvgVLL56i0mdQX6F%2Fgb5o9ikiDPcUmex1xB1LAp5mKxtKPdY2szQXrNFDuk1rlBrHbLWLDDUfGEa2AiBhRM1A3A75TMh2CuBIolHYjNwLIvr9UxLAH2h6Rvndadqkc9oOziJVbeYFeyGa4jYMS7H9Evriywad%2F3Gp3334%2FNsCsrRdzfbZ6KKF1leOKOK8VI%2B8mDc%2FAoxaJvrsorF3JGjqNa9YE7w9uAQo%2FRQ5uWoRD50QNBA%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"HP ProBook 640 G2 14"" Intel Core i5-6300U 2.40GHz 16GB RAM 256GB M.2 No Battery",,,$15.50,US,,Used,https://www.ebay.com/itm/354851879788?hash=item529ed1fb6c%3Ag%3AZg0AAOSwHvpkjFQX&amdata=enc%3AAQAIAAAA4CHvrgU2cCBFXehc2i1kxnXhbdESKzrn%2B1uLkMCWvREksYa2l%2FD%2BWvKkPKA2dwpJ9mB8iba%2Bys1odmxaGkSzjmX%2F84fBNFISVYmA4ExLR1H2iT5UYHCE%2Fa5iPADeZIab3LduXfVdrIMnA4Unwhg9ik15UkYboOcCLLXeLmvmAF1CyoaLBcx%2F8qzeH5qw6qrrnziTI60Z%2F4KsyD0InOdWBXBhgPG%2B59ivfrZXVUFvndMFRU3Q4m%2F2MOI1RsV%2FrkLk0QJq0ohza6v%2B4Yg446UwadyEN47J4LpogU6oOQO7m4DM%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
HEWLETT PACKARD HP 14 LAPTOP (PRM013465),$149.99,US,$100.00,US,,For parts or not working,https://www.ebay.com/itm/225619918066?hash=item3487febcf2%3Ag%3AJtMAAOSwJaRki35l&amdata=enc%3AAQAIAAAA4ChFYUZRFDB5p0KR5ePuRRiuxFxJA1HOOYlJrPD4cJFnShS%2FoPqBviqwjmH1E3i0caQOt9fvDb6GWMS1FzwywC%2F8aVydeEL50nJh5d0Hbu02lepAkQc5fOP81FkZySdafRNZGyNyiIyRBiLAa6z9hjh9AEsrgGPCNIgoYJsxncntWJ6Hxdl7ycucroUQjN6ms%2BCOdHSMbf32Ooxb8B4CQ6%2Bibtdz5ihRw30FOAtkYaUuwWhp6L0KHqGDU5cuK6u2hRZMAXmLyJ%2F%2Fi57y%2B8t0t2qpIaiNcOizZqLeb2bLs%2BBy%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
Panasonic Toughbook CF-C2 TouchScreen i5-4300U CPU 8GB RAM 500 GB HDD Win10,$175.00,US,$75.00,US,,Used,https://www.ebay.com/itm/125977792878?hash=item1d54dc916e%3Ag%3A%7EhoAAOSwBpRki3zP&amdata=enc%3AAQAIAAAAwHtoBW7eHJRzhK37lvQ2TSVmeuG2n3KB0puY5f8%2BkL3gH0Xgh4p7Imk%2BODK0NavOGZO8DGmmV4AFWu11esDp1jfrWY%2B2bOxwvLT0zsHlsK0BKpYeDJ55m5OqQyE4TETC1mAdlLCIcyiFR%2FA6vR6sZq%2F16%2B7xyGgHpSAN56jSpuQHfbYkF4iK%2FPGtrAoYf%2FTife1uPJ4eJSmuoz2Fc0g9cAdsAV7xG8xA8c%2FVEgvC5DiB3S5q%2BNYb%2BjOKAG5fG8TVvw%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"HP 1012 G1 X2 Tablet 12"" 1080P Intel M7 1.2GHZ 8GB Ram 128G SSD Win10Pro",,,$5.50,C,,Used,https://www.ebay.com/itm/295761535113?hash=item44dcc2e089%3Ag%3AYoYAAOSwqRRki31v&amdata=enc%3AAQAIAAAA4IJAc8TZYAbzv6Tbm%2FDcXHtSY3MM%2BXxNePl4IdCh%2FNy1sO%2Bv53P95HY6%2B%2FxjA2R1I6pQnRAUjhe6sDAfdvj3F0q9r4GEfYKcRXZiW%2Bx1G0jtX60v26uzdVcwohEggNLcmGG5rSYxDacpW0oVv%2FW1ZAb3q4v%2BK8bxQA7hE%2Fm5%2Bgys6F1%2FkJ76S5FlpHMqVQmqCB%2BXa59G%2FBwl6ombs15GTsiqhRPEvVz7N2NqZSRlGUrwqZ93X1czoBUKx2L2z7iVxmxon%2FC3LaTAO4qj5ZaRfERTNdGBagqyCBeEPH7Ds4Yo%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"Acer C738T Chromebook 2-in-1 TouchScreen 360 Hinge 11.6"" inch. 4GB 16GB SSD",,,$30.00,US,,Used,https://www.ebay.com/itm/115834375989?epid=2242718058&hash=item1af8444f35%3Ag%3AmfoAAOSw9JRki3xd&amdata=enc%3AAQAIAAAA4MQcdLMsz8KSuvlMxDHXX%2B6ugFeVOxdnZwG6qYqAH1eA8pNQ9Un5%2FjM7H54DXzSdGmsywZOhJgxKubt5PeJika2Eege6uD8bU6C%2BFj6YJcfTTGrSTTyzYoPnPwPaQ3OKtAMJWu9zUMUh5Xob1khOC4ct%2FSEJMWCRWpRZAdS7X9eztKMCGeTs%2F1VdyTrcvrHv%2BcSLdhq%2Fm2CmCQY48vgW4xuPCHKC2Ek5DmOYtXOIKhtTDwY%2FpEF92pxa6JTPtzymyfDY9BPWJwjhTqRnf2dg7Sha0GBOKbij6M5vb2gjmIXc%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"Microsoft Surface Book 3 15"" i7-1065G7 1.50G 32GB 1TB WIN 11 PRO RTX 3000 TOUCH",,,$775.00,US,,Used,https://www.ebay.com/itm/166181613893?hash=item26b1323145%3Ag%3AflgAAOSw0oFki3u6&amdata=enc%3AAQAIAAAAwH6xZU%2FTNb35bezlWVd9EdavMgLipOBqcOD5VKuNmn%2FI%2F5QIG1pMevnaRlbh1rB1e1HxGJ5r2pKUPu7rlp218PNMJFspbBEBXKY7G04%2BCWszCeknmxPQaFTLSgJ7QzjyGdju%2FWMbHgLBl0R0k7bNlzlVygcTDkgTEUn7oBeWItd9GeEOAFchzmNu%2Fk3vst009TrYm1NxAzbQpvMkY1khqUWinZX2fixlnUFNc4nIeMdBFGv%2FG8tmwbY4j3qCLpUvmA%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
Dell Latitude 7200 2-in-1,,,$199.00,US,,Used,https://www.ebay.com/itm/325699119254?hash=item4bd52e2896%3Ag%3AglEAAOSwAEhki3lT&amdata=enc%3AAQAIAAAAwC5sJDrQio%2BXLxW1ZKE48IPkf7XHF10QN72XyU%2FZZzud%2FMlKnRB5Ve5H8mwjqNWtwz%2FXzUpHvhzyYeNxi5nvERDAOzPcAXV00BBPeZ1mncMcUxxD6aAXkk42cu1AjwmrZ5CfOCAkEmnaOZhXz%2B%2FRM8ydfzShgAn7u8JWSr%2FLNGCAnUgGxU3evLwS8YLoFEwlDUxO%2FGQyTRPYoWvP6dpEvsJEzyFdSUXTlwJAhnOGr%2Btm1DL%2FcWG8D2ykxO5PiXT6VA%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"Lenovo ThinkPad P50 15.6"" (500GB HDD, Intel Core i7-6700HQ, 2.6GHz, 8GB RAM)...",,,$63.00,US,,Used,https://www.ebay.com/itm/115833852522?epid=8021964087&hash=item1af83c526a%3Ag%3An2UAAOSwOzNki3uF&amdata=enc%3AAQAIAAAAwM64oPBSwyiQbOGKiAffIm2KUkWjeFSyeZi5Y1qsX7nJesiVD34IbXoIPIT7gtIW%2FuvyzWRYQzdZ695y%2BokcCsh5F63EZliF2Vqcwh4pNxZxBE9vbE8ON6tR7SkDnvuXQBTfHQYdoRfrf82yTTEAS4kZUT4Lm8Krhswl41jjbRQiXU66KypqXQwvczkaONlYS%2F%2BMo6lW%2FwM5O%2Bk%2BoNRTivD2jbPtaQzXTrhhn35C6m7mtRsKXuLxL3bptySqmtAVoQ%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
Lenovo ThinkPad X1 Carbon 5th Gen 16GB 512GB SSD i7 7600U 2.8GHz - Win 10 Pro,,,$139.00,US,,Used,https://www.ebay.com/itm/134614378231?hash=item1f57a466f7%3Ag%3AMv4AAOSwpSNki3kL&amdata=enc%3AAQAIAAAAwE37AS4Qn9WtVUT0lYqg%2FRvOBuTeiXX%2FaCV6QPOoojBTB4WYJEKABWWx%2BH%2B5SHsfKuoLKQ1kN9zZVgx2tY4mQzJAr%2BHUw4jA5YDMZwdM1ovHOok%2FYI0U8J9g40QxuquK0wGKrNvQZknyPs3y7EPUD0jZr3q88VKy3tNxWGmBlPNZRmNChu3gk0fbvhSFdmtpu9n6EFUwC4xJ4TVeEe6XMposNkxi9C7wDA6kSDH6zfFgsnetuMo2Z77PfGvxVcY5Ig%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"DELL Latitude E7240 Ultrabook i7-4600U 2.10 16GB DDR3 256GB SSD WiFi Win10 12.5""",$129.95,US,$55.00,US,,Used,https://www.ebay.com/itm/166181613894?hash=item26b1323146%3Ag%3AyC8AAOSwP1Fki3nv&amdata=enc%3AAQAIAAAA4FXSh%2BB658hFhEiODiLlxNxDbbhOZN7chvf2njftNlWDN4XyLaens9vf5AIwQKQnoeJnoKTf9LGZ9OGYeKpJ9My24516v9%2FxSzR4lq9kwLRqyr72iuqJEeI1NiX4nFsdXhb1okVQtkp4Q9EUldui3p3oph7GMsEzlWwX3qlNObPeUS02QeiKBIrqLMsgd9kjx3vXx5yapHgteWvdLheutb3oVtRlTUwigY0KjWsGXiUgbpCUNsNP06WYUC2id%2BqVMrZn4mU3X0ja9VdpAleYJLR3kMCOk8cTx9p%2B%2Bm6BVIVT%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"Compaq Presario CQ62 AMD Athlon II P320,  4GB RAM, Win 11, w/adapter",$55.00,US,$40.00,US,,Used,https://www.ebay.com/itm/325695493417?hash=item4bd4f6d529%3Ag%3AfQAAAOSwh81ki3cZ&amdata=enc%3AAQAIAAAA4DUv3VOWeXuzXi4SV3YlsKhR5te7OHzYAia8WnVPCW95pevftm20wOIzIcsWFodPjctcoXsfwLzfxceRUcCr%2FvILU3xjS62JPVYsM8fTiOh5Bwy3W0qLPWp2yTFJOXi7wgDRLQty5Q48XR76gW2g2LBimrIEHpx4tsauHEw2Euckrpf1CwuuAKnGbzBBTjFLlY69vRb2DpKQTjH1WwIuSbRMY3Ak0f2ylOO8VA5WgOwPzuQCifiB%2BHvwLpgzW3eFwoiQLoFUuA42kM0cgmEzl8lRUsXsrEsViZkj%2Bec%2FEnY1%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
ASUS M509D - 15.6” - Athlon Silver 3050U - 4GB RAM - 1TB - Laptop Win 10,$179.00,US,$68.00,US,,New,https://www.ebay.com/itm/354851842703?hash=item529ed16a8f%3Ag%3AxocAAOSw8P9ki3l2&amdata=enc%3AAQAIAAAA4M4mbHDQn2rglwF9N0G1q5bDd0cnYAXu4bqSprlhGqnuYhPrkiH1pfIQ%2FzKYHA%2Br8s5TuK5r03CF%2FrfUkVHR6A9xGIJ1DgJlEZDyRbKrjaZL%2BI21AB%2B3NMX0OXbYqQrXCs1izqvFjjRwENTP7peb%2F4X0hIrBqIBQZLdn98Ke5wvSl6RxKbRnnEu184vp99K5NE59f808fiQ8%2BTVfajJAYjRs46Yhqo2HSzIc4y2K1PCEZKqrwkaIAmI4sehIICxEM4gxf%2BjBucM%2FF65LVuqDGZI1Mbs5aajCFPLR%2FyMfI%2FzP%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
"MSI Katana 15 15.6 inch (1TB SSD, Intel Core i7 13620H, 1.8GHz, 16GB RAM, NVIDIA",,,$804.00,US,,Open box,https://www.ebay.com/itm/285332968275?epid=16060141069&hash=item426f2b9353%3Ag%3ADAAAAOSwTDhkiGT-&amdata=enc%3AAQAIAAAA4FdMAxfn4XcPCjsStSSUKdn4q41oLWTVHOPeWbb3XnEoOc2WDj5XSabNrkVm2TXfxCIN3tTFMso4xOc2DhCJ2Y5eGLipGZBLy%2BrDZqMZW%2FfDn97ER7DItQS8D7MMbaInt3wYBCMgmGIYtFe34YdYrnKyIVh46nBhHr6eRb2orT7hWu%2B7VBeVQZnjhAlgJQNh3f0WQuPYDEWSfSfhLzu3GtOsNtD8TGEglxI4C1LQg4a2DZskzpTXVBzs7Mp08E5myRKNLbo6wJ0%2Bcw41suOJ4BF15Zl1u8n2bcOiBM%2FzJqke%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
ASUS ROG Zephyrus M16 16'' (1TB SSD Intel Core i9-12900H 2.5GHz 16GB RAM) Gaming,,,$830.00,US,,Used,https://www.ebay.com/itm/394682056381?epid=17053295182&hash=item5be4e23ebd%3Ag%3ApGgAAOSw6qRki3g-&amdata=enc%3AAQAIAAAAwM2hRpJSWpBJdIh%2Fbb2ReqRSBrVc9OlCixJIrPkg65dVtNie7%2B83baKAXxN8JWMETiiSiR0Uc%2Bw%2FF77mminVvGSjRdXPrN5jDvjaqLSyDCqdnYMcuqEIYYtaWtyMINzOH30gYr8Wlvq%2BNBh1qhi86sVEAmTDOed%2FA6hS%2FnqS6hWDuAboiMW5OvFfEKAkurPssebuON0paPovF3AHG4oSERcaLDuYQuj4tMiDxbzb1q%2B%2FrV2c%2BK5Bya80hTbpvGoXNw%3D%3D%7Ctkp%3ABk9SR9rC2oGcYg&LH_Auction=1
ASUS M509D - 15.6” - Athlon Silver 3050U - 4GB RAM - 1TB - Laptop Win 10,,,$286.00,US,,New,https://www.ebay.com/itm/354851837005?hash=item529ed1544d%3Ag%3AHJQAAOSwUCRki3f1&amdata=enc%3AAQAIAAAA4FYr0MzA%2Fzow3E7OuZLdG85FkaQStkVXaeTeG0Bap4wS0JN3xmx%2Bc4%2BDxgei29PDmQz8uKarf%2BT2JRe9fyQSognglnOutXsii3WkSTFNoohWryklQiLmNK6VoMFUM0LRlT2Hb4fXsSFHvcEA3W8aHpyZoy29yyUWDdmpDqNxUi6oAkUhnI6HVIYlhqKTCil04wcTT3Cqnr8LJwMGRsgKC%2B0hXgef2wEMeX%2FWFayOiXZb%2FYB%2BulXmMg%2BIUiOlYUwvWia1T%2FqxaN3iGOKrgQdiqm7A7CZi3Ml6OxKSieO6fpcm%7Ctkp%3ABk9SR9zC2oGcYg&LH_Auction=1
"Dell Latitude 5480 14'' (256GB SSD, Core i5-7300U, 2.6GHz 8GB RAM) Hi Res Screen",$109.00,US,$79.00,US,,Used,https://www.ebay.com/itm/225619896045?epid=18053983717&hash=item3487fe66ed%3Ag%3A-ekAAOSwThBki3eN&amdata=enc%3AAQAIAAAA4AXtrZWC5pQ9QHsRw2uB5JjSepdjOwi9h0df184FIdW%2Bami73jqyy33fZolVGMzCi%2BUETxFoZ8MDXEdad89idPrTn8xrzOdVUCMsjx5vstB%2BdTcBlFxKbN2%2BKQrqmG%2BVVbacj9Z0ZsMAan9%2FpQAlv4zpvmNF0LmVX4on9LsWV3cKIn%2B6nrrNyFa5yW%2BFN022Tr1SFoISzSngR6IUSmpAzZaCuUkqBI%2BjPpL%2F9PVYSE4aPGlXuVBc7mreaMHgyKxvG1vFnEkeVYVuzv3SnQwzkxFPS%2Ft5eRnNa3L%2FzHuWyNQ%2B%7Ctkp%3ABk9SR9zC2oGcYg&LH_Auction=1
ASUS E410M laptop (PRM013698),$100.00,US,$70.00,US,,For parts or not working,https://www.ebay.com/itm/225619882225?epid=6045691733&hash=item3487fe30f1%3Ag%3Acy4AAOSwJ8dki3ci&amdata=enc%3AAQAIAAAAwP%2BaIje%2FTBeCavoONsi56iaCP8NdPZrdvtpkoJ%2FeFzaDQ%2Fo8pjOTZqcxsBCPRTSBEhrHNOqMDrtzebnrOEO6Z1zBNSRsXxf7%2FhEG03r2V9lDt%2BWkWgoIKHCwuL8XB5zgfQphhJwHEop65AtHjSXmSztcuknoBAK2XYYRulTmj48zjlkqrZt%2FXdCqjei8%2B6jd8tVMfBVAPZFxaRZCHDHHJ6HDy0EicEjqYBbE9QcEhz0VzBngH6l9VMWW3LAqsJmU4A%3D%3D%7Ctkp%3ABk9SR9zC2oGcYg&LH_Auction=1
"Microsoft Surface Pro 8 13"" Touch (256GB SSD, Intel Core i7 11th Gen., 4.80 GHz,",$687.00,US,$349.00,US,,Used,https://www.ebay.com/itm/166176781422?hash=item26b0e8746e%3Ag%3AmmYAAOSwo1dki3ak&amdata=enc%3AAQAIAAAA4CBr6qlQXUO9XWbHYEEUPtswCYoMdrG7IaCR1Geqv0Sz0nJkIRaS6vb1yKnutsjztruhPL97h%2FHAc%2B0g2wli12Oje%2BDCQ3%2BCl%2FLmj4hvkT9Fh12hAsfSzdRhTx8QurDZpZU151mkezv1TRV2FnyJUaD7Qu4dEStedkF2TLqcuuFfkC2m6whN4T6tCWs4PAnqMZjap0NX0fAr2IrJKAH1grPJSj8WxwAhOkYTe%2FonSmNo2prhlVU903EkueQMAkPJ5EizZkfjsD5%2FGo0iE0sorEQNFCc%2B9P8vMDA97vfYujvF%7Ctkp%3ABk9SR9zC2oGcYg&LH_Auction=1
