"Dell G7: 7790, Intel Core i7 9th Gen., 32GB RAM, 1TB SSD, None, NVIDIA GeForce R",,,$231.00,US,,Used,https://www.ebay.com/itm/125985757042?hash=item1d55561772%3Ag%3AMLQAAOSw%7EgFkk17T&amdata=enc%3AAQAIAAAAwCQJjYqQKwDoRj7r7vqsE%2BcpM7EKkgRHU61nx0LP%2Bz5rYILVqTRJ34ZJVTlZxk1qDuAg%2FUmeQFEM1pZOgeybkrC6roVPdyUOx2cx9q%2FcgS7p4zQXeMhujTlG8iwSdZTbNiQN%2BplsTjHVhGezCfr%2F%2BPkx%2Bpoqy6f4Hk%2FxaisYK7nd32r9isx3m6wbpeKQIYsyu8FbIyIn18u4lfI0eeFnrB7BE1j7RA%2BoVAagC%2BftMTM76UQsJrfgPux1eUmkky6%2F0A%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
"Dell Latitude 3400 14"" Laptop. NO CHARGER",,,$84.00,US,,Used,https://www.ebay.com/itm/325703366807?epid=7040505035&hash=item4bd56ef897%3Ag%3A52AAAOSw0LVkk1zA&amdata=enc%3AAQAIAAAAwH%2BPn47T8giRW%2BsFCSlzuZB5mFwhYCZGMPg1cPOWesM%2B%2F5y7esfpvGMqXTeUumFTfPJlggV0fARivbSu1eK4iAXJZdB6nC%2FgAajZt2lPZ2Ds40zJjdcoeg%2FAlDxDiHkY9X7xbQ4LkXiqEzAOVURvH5YKBGgbUnfbs1O3%2Bl44L7gSEHdnQLVWwev2lwXmGbVKYw5Epyy2sl3HIke7RLOAvS8NbVPxKe%2FPMs7j5UmstL006jGDvDF3HsEn7c8dmqOLdQ%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
"Dell Latitude E5470 14"" Intel i5-6200U 2.3GHz 16GB RAM 512GB SSD No Battery",,,$4.99,US,,Used,https://www.ebay.com/itm/404345226004?hash=item5e24da8314%3Ag%3ATu4AAOSwsNFkk1yZ&amdata=enc%3AAQAIAAAA4PGj0d5BppnDn2K3psycE78YfjjT6wXEjAVV3KJe1JKrlg8InnwClFUo37mBwu8m2ln%2FL1Rg3jlco4CXOSKkhS0Sft5t%2BU7JpK0Qw9CXr2dauvsqs26ld9SGkmATUHTNXmJVeB9XpKwTvKZzd%2BsB84doWaCOpID0GoeqIrMonP8uBV6VoUlRl26ADMxQr%2Fl2%2FcdBI7AYBbdpQwsRU4gfqHb%2FYPUucFLIy05p%2BQnlvEhgGs1RyCjndgNeP0mXxTNQPaV%2FLTFpcDjR4q3gmNMIGdhGfBzfoxlob2mGpc1XXEvq%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
"HP Elitebook 820 G3 12"" Intel Core i5-6300U 2.4GHz 16GB RAM 256GB SSD No Battery",,,$4.99,US,,Used,https://www.ebay.com/itm/404345225176?epid=2102574242&hash=item5e24da7fd8%3Ag%3AvcUAAOSwk4hkOViU&amdata=enc%3AAQAIAAAAwM5gwgCYU5qcrgGIaRh5lvI4CgMIHZyuywUKdLrT3r3gKn8iQK5Oxh5YG8pwFBZbah0fTHzWIiUuTFF1J1Oupkp9WMlcoU0yHlLrymxaj7W%2FjEIkXGKfJnpgXaMz7ZaIe5qgp4rMkCn8AjGYye1v%2F7ZmKZWsnfVENf9YyKo4bEYy8OGlqj6A1311joD93dCUlX0j%2B2phnW40qmpVHYbtOen0kdkUWcIWG9ADw8hrPAMiP8Dn%2BNJiP7bVrBVQVXbAUQ%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
Dell Precision m6500 i7 6gb Ram 500gb HDD,$69.00,US,$18.96,US,,Used,https://www.ebay.com/itm/334920753983?hash=item4dfad5233f%3Ag%3AyrMAAOSwPl1kk1d3&amdata=enc%3AAQAIAAAA4Ix0czmYVjFwGz%2BkRxvWPlheETGz8vNi17c7DZ9SPfxlSVdSF5wnPB7HhMUCroEcFt98YBvJl966RWfhGO5RExsxJvAKBlAVH7f3PJyO%2B%2BGDHnQpm4ipPu30ld%2FvcbC1eYPUUtXIMb%2FdUyqG9aSJ85gxc%2FKj5jEljLSeX1EfNLi8em172Ai6dyJ%2FDMeq7bBXJUvJSz4v7fhtjXrZmukLPqsy1cG7h0hVYwWVghdifqaP7rNU2fGDvDjqLWGSTOYdgxgwg742JBP6%2FHLt5LLI%2FAiMHYdrAG%2BCqpjD%2B1V7P2F%2F%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
Dell Latitude 3420 14in Intel Core i5-1135G7 256GB Laptop Computer,,,$399.99,US,,Open box,https://www.ebay.com/itm/364314938947?hash=item54d2dcce43%3Ag%3AZ1oAAOSwhxJkk1pv&amdata=enc%3AAQAIAAAA4KllsCvdKsOg97mBGSve5dp2GcfcR8sA%2FnIHbhSUI9uwhmukm%2BLTIMqp%2F8esGdqMJOH7b5X%2FL5Gp8bdIg7nj39HBlQ%2FJUbOWLJm1wgWwadByCTRWjMBJCmEQwEqPPe4XgyDuVAMsNuHjcYYlWS%2FVStRT7C4kbqsOb6ac3ljvZ8FAkuycIzYlx2uT1WAokzRm0qHZb5FlqdSfJ5F2Kmg6Gz39xV9l19jBRldUY5SJrkhf%2F9cAQh47bP62Q7huTL0iBxpcE%2BLclcbmwAqN%2FHsrUYOAj024P8zeYT0xaxHPOn2e%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
HP EliteBook 840 G1 i5-4200U 4xCPU@2.3GHz 16GB RAM 128GB SSD(6-21-3),,,$1.00,US,,Used,https://www.ebay.com/itm/225631471943?hash=item3488af0947%3Ag%3ARqcAAOSwYm1kk1jW&amdata=enc%3AAQAIAAAAwAHF8iWcu2fXUHVxRI4iF0km1EKiWqUWJQXrM8Qwawj5tUMWvqbSe%2F8Ayh5QS5q4OyF%2Ftzcp2qIHrXG41Jezga8Qm5ADCI637iEOC%2FdLe9YV8TTuP%2BBrXpgQT%2B5GpkcL%2Fo%2BRmMbukJlWodCT8PW%2FeR1PJ6%2FysPiSvUv9hJOSQu0GDAl%2Few5ymJWeW7INnGMfPaXzpxFRNBdqvfJBkD%2BY89T2pL5QXR1sX2k%2FiCceySIqJpmcvGvVKbvuxWIUPkjUew%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
DELL LATITUDE XVW8Y LATITUDE 7420 I5 11-1145 G7 16 GB Memory 257GB SSD W/10 Pro,,,$375.00,US,,New,https://www.ebay.com/itm/145149721241?epid=22044168502&hash=item21cb98fa99%3Ag%3AP5IAAOSwMjZkSEXB&amdata=enc%3AAQAIAAAA4A8noNtYherZSXhDy8gE8XQPTnokwvutZNtU3uA0VRSLqzjwNcjxJgeU5AJIA2ylGrLTURrw1UknBezSHQRhHZHXc%2FfYk2r7gmpwVl7zl4OHBdq24SiMTsoK6kFB8pm6EG%2BSe%2FXcSvezoQvcMvSrC%2Bl3kt3ns1Ka0vzA2N5zFq1z5sTNvx1Jbu6tFiYaRp9NhVZH1tVqpREhm35XHFuio8z34fvYbpFNaXTLBYs%2FTAk6BEY4q4%2B8THMsjwjXzKyQRPxZw%2BIr1iuunwZa4f8Iy9%2B36KOAPCnXUqs4xr2Gs83P%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
HP Laptop 17-cn0053cl 316H8UA 17.3 Full HD Notebook Computer Natural Silver ,,,$199.00,US,,Used,https://www.ebay.com/itm/256117456121?epid=6054305242&hash=item3ba1ca3cf9%3Ag%3AK9MAAOSwPGNkkyz5&amdata=enc%3AAQAIAAAAwFiVJoCRyga%2Bh%2Bvp14GycZWwx6OhhjAqyuSp2OgSv%2FS6L54AXB9bxiouP2v5oq2E2z5ajwiOwtNMTOJUb9tPt0W6UcDP9bZofBqF6Afa21G2BLh9lHMY2GCrrIg3hm5jtMNEpG9SlVN%2F7dVaELd%2FdAbTGSensSNSzEX8nGgE%2B8%2Bmjz3ZUkJ9oZSboJpJoLDZAA7ccfB2CHE2%2B7R7nanPx1x0BKStiODigxxSKXL9vYR%2FueKq2hDvzgarQRBPeLFgMw%3D%3D%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
Lenovo ThinkPad X1 Carbon 5th Gen Intel  i5-16300U 2.4GHz 256 GB SSD 8GB 20K4,,,$99.99,US,,Used,https://www.ebay.com/itm/314653181012?hash=item4942ca8454%3Ag%3AKCoAAOSwa8BkjOkK&amdata=enc%3AAQAIAAAA4O%2FaaOf5hBas5xtuK2ZqQbOVXFx6yPWT%2F402V%2Bf8J2yJEKfsbaamt3zvf%2FEgxJCwBagV%2FLC6m9rLbYRWGXOe6ADvcLcVggWGOvqmywdQJNlBb41wfb5s8U6%2FRSz25tE9f30uhQzym%2BNiOOofudxspr6%2FCOspnUAARPl7TKWSQCrFIdQ99IXsOfBJXjiAID8cWszbXj64fedMKtKyY%2BwpStC733Ai%2Fv13dMfh2qKaRQ%2BVYtDSu4UinuDvPSSlyGKO3DRSCOh5JRPzdkHqeJ3muNtJws8hjcJVgyRPFqVarSrq%7Ctkp%3ABk9SR7yui4CcYg&LH_Auction=1
